Node_A,Node_B,Total_Weight,Source_Breakdown
-skandh beheld,panca -skandh,1,Prajnaparamita-:1
-avalokite varo,panca -skandh,1,Prajnaparamita-:1
caram dwelling,panca -skandh,1,Prajnaparamita-:1
panca -skandh,rya -avalokite,1,Prajnaparamita-:1
gambh praj,panca -skandh,1,Prajnaparamita-:1
panca -skandh,sma panca,1,Prajnaparamita-:1
dhisattvo noble,panca -skandh,1,Prajnaparamita-:1
five constituent,praj ramit,1,Prajnaparamita-:1
cary caram,five constituent,1,Prajnaparamita-:1
five constituent,yati sma,1,Prajnaparamita-:1
beheld five,five constituent,1,Prajnaparamita-:1
five constituent,fortunate noble,1,Prajnaparamita-:1
deep practice,five constituent,1,Prajnaparamita-:1
MATTER_CONCEPT,five constituent,1,Prajnaparamita-:1
avalokite vara,five constituent,1,Prajnaparamita-:1
-to-be avalokite,five constituent,1,Prajnaparamita-:1
dwelling deep,five constituent,1,Prajnaparamita-:1
-skandh beheld,five constituent,1,Prajnaparamita-:1
-avalokite varo,five constituent,1,Prajnaparamita-:1
caram dwelling,five constituent,1,Prajnaparamita-:1
five constituent,rya -avalokite,1,Prajnaparamita-:1
five constituent,gambh praj,1,Prajnaparamita-:1
five constituent,sma panca,1,Prajnaparamita-:1
dhisattvo noble,five constituent,1,Prajnaparamita-:1
cary caram,praj ramit,1,Prajnaparamita-:1
praj ramit,yati sma,1,Prajnaparamita-:1
beheld five,praj ramit,1,Prajnaparamita-:1
fortunate noble,praj ramit,1,Prajnaparamita-:1
deep practice,praj ramit,1,Prajnaparamita-:1
MATTER_CONCEPT,praj ramit,1,Prajnaparamita-:1
avalokite vara,praj ramit,1,Prajnaparamita-:1
-to-be avalokite,praj ramit,1,Prajnaparamita-:1
dwelling deep,praj ramit,1,Prajnaparamita-:1
-skandh beheld,praj ramit,1,Prajnaparamita-:1
-avalokite varo,praj ramit,1,Prajnaparamita-:1
caram dwelling,praj ramit,1,Prajnaparamita-:1
praj ramit,rya -avalokite,1,Prajnaparamita-:1
gambh praj,praj ramit,1,Prajnaparamita-:1
praj ramit,sma panca,1,Prajnaparamita-:1
dhisattvo noble,praj ramit,1,Prajnaparamita-:1
cary caram,yati sma,1,Prajnaparamita-:1
beheld five,cary caram,1,Prajnaparamita-:1
cary caram,fortunate noble,1,Prajnaparamita-:1
cary caram,deep practice,1,Prajnaparamita-:1
MATTER_CONCEPT,cary caram,1,Prajnaparamita-:1
avalokite vara,cary caram,1,Prajnaparamita-:1
-to-be avalokite,cary caram,1,Prajnaparamita-:1
cary caram,dwelling deep,1,Prajnaparamita-:1
-skandh beheld,cary caram,1,Prajnaparamita-:1
-avalokite varo,cary caram,1,Prajnaparamita-:1
caram dwelling,cary caram,1,Prajnaparamita-:1
cary caram,rya -avalokite,1,Prajnaparamita-:1
cary caram,gambh praj,1,Prajnaparamita-:1
cary caram,sma panca,1,Prajnaparamita-:1
cary caram,dhisattvo noble,1,Prajnaparamita-:1
beheld five,yati sma,1,Prajnaparamita-:1
fortunate noble,yati sma,1,Prajnaparamita-:1
deep practice,yati sma,1,Prajnaparamita-:1
MATTER_CONCEPT,yati sma,1,Prajnaparamita-:1
avalokite vara,yati sma,1,Prajnaparamita-:1
-to-be avalokite,yati sma,1,Prajnaparamita-:1
dwelling deep,yati sma,1,Prajnaparamita-:1
-skandh beheld,yati sma,1,Prajnaparamita-:1
-avalokite varo,yati sma,1,Prajnaparamita-:1
caram dwelling,yati sma,1,Prajnaparamita-:1
rya -avalokite,yati sma,1,Prajnaparamita-:1
gambh praj,yati sma,1,Prajnaparamita-:1
sma panca,yati sma,1,Prajnaparamita-:1
dhisattvo noble,yati sma,1,Prajnaparamita-:1
beheld five,fortunate noble,1,Prajnaparamita-:1
beheld five,deep practice,1,Prajnaparamita-:1
MATTER_CONCEPT,beheld five,1,Prajnaparamita-:1
avalokite vara,beheld five,1,Prajnaparamita-:1
-to-be avalokite,beheld five,1,Prajnaparamita-:1
beheld five,dwelling deep,1,Prajnaparamita-:1
-skandh beheld,beheld five,1,Prajnaparamita-:1
-avalokite varo,beheld five,1,Prajnaparamita-:1
beheld five,caram dwelling,1,Prajnaparamita-:1
beheld five,rya -avalokite,1,Prajnaparamita-:1
beheld five,gambh praj,1,Prajnaparamita-:1
beheld five,sma panca,1,Prajnaparamita-:1
beheld five,dhisattvo noble,1,Prajnaparamita-:1
deep practice,fortunate noble,1,Prajnaparamita-:1
MATTER_CONCEPT,fortunate noble,1,Prajnaparamita-:1
avalokite vara,fortunate noble,1,Prajnaparamita-:1
-to-be avalokite,fortunate noble,1,Prajnaparamita-:1
dwelling deep,fortunate noble,1,Prajnaparamita-:1
-skandh beheld,fortunate noble,1,Prajnaparamita-:1
-avalokite varo,fortunate noble,1,Prajnaparamita-:1
caram dwelling,fortunate noble,1,Prajnaparamita-:1
fortunate noble,rya -avalokite,1,Prajnaparamita-:1
fortunate noble,gambh praj,1,Prajnaparamita-:1
fortunate noble,sma panca,1,Prajnaparamita-:1
dhisattvo noble,fortunate noble,1,Prajnaparamita-:1
MATTER_CONCEPT,deep practice,1,Prajnaparamita-:1
avalokite vara,deep practice,1,Prajnaparamita-:1
-to-be avalokite,deep practice,1,Prajnaparamita-:1
deep practice,dwelling deep,1,Prajnaparamita-:1
-skandh beheld,deep practice,1,Prajnaparamita-:1
-avalokite varo,deep practice,1,Prajnaparamita-:1
caram dwelling,deep practice,1,Prajnaparamita-:1
deep practice,rya -avalokite,1,Prajnaparamita-:1
deep practice,gambh praj,1,Prajnaparamita-:1
deep practice,sma panca,1,Prajnaparamita-:1
deep practice,dhisattvo noble,1,Prajnaparamita-:1
MATTER_CONCEPT,avalokite vara,1,Prajnaparamita-:1
-to-be avalokite,MATTER_CONCEPT,1,Prajnaparamita-:1
MATTER_CONCEPT,dwelling deep,1,Prajnaparamita-:1
-skandh beheld,MATTER_CONCEPT,1,Prajnaparamita-:1
-avalokite varo,MATTER_CONCEPT,1,Prajnaparamita-:1
MATTER_CONCEPT,caram dwelling,1,Prajnaparamita-:1
MATTER_CONCEPT,rya -avalokite,1,Prajnaparamita-:1
MATTER_CONCEPT,gambh praj,1,Prajnaparamita-:1
MATTER_CONCEPT,sma panca,1,Prajnaparamita-:1
MATTER_CONCEPT,dhisattvo noble,1,Prajnaparamita-:1
-to-be avalokite,avalokite vara,1,Prajnaparamita-:1
avalokite vara,dwelling deep,1,Prajnaparamita-:1
-skandh beheld,avalokite vara,1,Prajnaparamita-:1
-avalokite varo,avalokite vara,1,Prajnaparamita-:1
avalokite vara,caram dwelling,1,Prajnaparamita-:1
avalokite vara,rya -avalokite,1,Prajnaparamita-:1
avalokite vara,gambh praj,1,Prajnaparamita-:1
avalokite vara,sma panca,1,Prajnaparamita-:1
avalokite vara,dhisattvo noble,1,Prajnaparamita-:1
-to-be avalokite,dwelling deep,1,Prajnaparamita-:1
-skandh beheld,-to-be avalokite,1,Prajnaparamita-:1
-avalokite varo,-to-be avalokite,1,Prajnaparamita-:1
-to-be avalokite,caram dwelling,1,Prajnaparamita-:1
-to-be avalokite,rya -avalokite,1,Prajnaparamita-:1
-to-be avalokite,gambh praj,1,Prajnaparamita-:1
-to-be avalokite,sma panca,1,Prajnaparamita-:1
-to-be avalokite,dhisattvo noble,1,Prajnaparamita-:1
-skandh beheld,dwelling deep,1,Prajnaparamita-:1
-avalokite varo,dwelling deep,1,Prajnaparamita-:1
caram dwelling,dwelling deep,1,Prajnaparamita-:1
dwelling deep,rya -avalokite,1,Prajnaparamita-:1
dwelling deep,gambh praj,1,Prajnaparamita-:1
dwelling deep,sma panca,1,Prajnaparamita-:1
dhisattvo noble,dwelling deep,1,Prajnaparamita-:1
-avalokite varo,-skandh beheld,1,Prajnaparamita-:1
-skandh beheld,caram dwelling,1,Prajnaparamita-:1
-skandh beheld,rya -avalokite,1,Prajnaparamita-:1
-skandh beheld,gambh praj,1,Prajnaparamita-:1
-skandh beheld,sma panca,1,Prajnaparamita-:1
-skandh beheld,dhisattvo noble,1,Prajnaparamita-:1
-avalokite varo,caram dwelling,1,Prajnaparamita-:1
-avalokite varo,rya -avalokite,1,Prajnaparamita-:1
-avalokite varo,gambh praj,1,Prajnaparamita-:1
-avalokite varo,sma panca,1,Prajnaparamita-:1
-avalokite varo,dhisattvo noble,1,Prajnaparamita-:1
caram dwelling,rya -avalokite,1,Prajnaparamita-:1
caram dwelling,gambh praj,1,Prajnaparamita-:1
caram dwelling,sma panca,1,Prajnaparamita-:1
caram dwelling,dhisattvo noble,1,Prajnaparamita-:1
gambh praj,rya -avalokite,1,Prajnaparamita-:1
rya -avalokite,sma panca,1,Prajnaparamita-:1
dhisattvo noble,rya -avalokite,1,Prajnaparamita-:1
gambh praj,sma panca,1,Prajnaparamita-:1
dhisattvo noble,gambh praj,1,Prajnaparamita-:1
dhisattvo noble,sma panca,1,Prajnaparamita-:1
MIND_CONCEPT,saw empty,1,Prajnaparamita-:1
-nature,MIND_CONCEPT,1,Prajnaparamita-:1
-nature,saw empty,1,Prajnaparamita-:1
thak nyat,yad nyat,1,Prajnaparamita-:1
nyataiva riputra,thak nyat,1,Prajnaparamita-:1
nyat unyat,thak nyat,1,Prajnaparamita-:1
thak nyat,whatever,1,Prajnaparamita-:1
different,thak nyat,1,Prajnaparamita-:1
nyat tad,thak nyat,1,Prajnaparamita-:1
thak nyat,unyat thag,1,Prajnaparamita-:1
tad whatever,thak nyat,1,Prajnaparamita-:1
nyat nyat,thak nyat,1,Prajnaparamita-:1
fferent,thak nyat,1,Prajnaparamita-:1
ROOT_ACCESS,thak nyat,1,Prajnaparamita-:1
surely,thak nyat,1,Prajnaparamita-:1
iha riputra,thak nyat,1,Prajnaparamita-:1
MATTER_CONCEPT,thak nyat,1,Prajnaparamita-:1
riputra nyat,thak nyat,1,Prajnaparamita-:1
nyat nyataiva,thak nyat,1,Prajnaparamita-:1
nyataiva riputra,yad nyat,1,Prajnaparamita-:1
nyat unyat,yad nyat,1,Prajnaparamita-:1
